name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Goudurix,Steel,Sit Down,75.0,37.0,950.0,7.0,Vekoma,Parc Asterix,status.operating,49.1341838,2.5712303
SOS Numerobis,Steel,Sit Down,32.0,6.0,200.0,0.0,Zierer,Parc Asterix,status.operating,49.1341838,2.5712303
La Ronde des Rondins,Steel,Sit Down,26.0,3.0,60.0,0.0,Zierer,Parc Asterix,status.relocated,49.1341838,2.5712303
La Trace du Hourra,Steel,Bobsleigh,60.0,31.0,900.0,0.0,Mack,Parc Asterix,status.operating,49.1341838,2.5712303
Tonnerre de Zeus,Wooden,Sit Down,84.0,30.0,1233.0,0.0,CCI,Parc Asterix,status.operating,49.1341838,2.5712303
Le Vol d'Icare,Steel,Sit Down,42.0,11.0,410.0,0.0,Zierer,Parc Asterix,status.operating,49.1341838,2.5712303
OzIris,Steel,Inverted,91.0,40.0,1000.0,5.0,B&M,Parc Asterix,status.operating,49.1341838,2.5712303
Pegase Express,Steel,Sit Down,52.0,21.0,928.0,0.0,Gerstlauer,Parc Asterix,status.operating,49.1341838,2.5712303
Unnamed Quadruple Launch Coaster,Steel,Sit Down,107.0,51.0,1075.0,3.0,Intamin,Parc Asterix,status.announced,49.1341838,2.5712303
Dream catcher,Steel,Suspended,45.0,25.0,600.0,0.0,Vekoma,Bobbejaanland,status.operating,51.200696,4.903925999999999
Oki Doki,Steel,Sit Down,58.0,16.0,436.0,0.0,Vekoma,Bobbejaanland,status.operating,51.200696,4.903925999999999
Typhoon,Steel,Sit Down,80.0,26.0,670.0,4.0,Gerstlauer,Bobbejaanland,status.operating,51.200696,4.903925999999999
Mount Mara,Steel,Sit Down,50.0,26.0,720.0,0.0,Vekoma,Bobbejaanland,status.operating,51.200696,4.903925999999999
Bob Express,Steel,Sit Down,36.0,10.0,521.0,0.0,Mack,Bobbejaanland,status.operating,51.200696,4.903925999999999
Speedy Bob (Left),Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Bobbejaanland,status.relocated,51.200696,4.903925999999999
Looping Star,Steel,Sit Down,77.0,25.0,592.0,1.0,Schwarzkopf,Bobbejaanland,status.closed.definitely,51.200696,4.903925999999999
Speedy Bob (Right),Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Bobbejaanland,status.operating,51.200696,4.903925999999999
Naga Bay,Steel,Spinning,55.0,17.0,430.0,0.0,Maurer,Bobbejaanland,status.operating,51.200696,4.903925999999999
Fury,Steel,Sit Down,106.0,43.0,600.0,4.0,Gerstlauer,Bobbejaanland,status.operating,51.200696,4.903925999999999
Alucinakis,Steel,Sit Down,30.0,8.0,250.0,0.0,Zamperla,Terra Mítica,status.operating,38.5608622,-0.1582938
Magnus Colossus,Wooden,Sit Down,92.0,38.0,1150.0,0.0,RCCA,Terra Mítica,status.closed.temporarily,38.5608622,-0.1582938
Titánide,Steel,Inverted,80.0,33.0,689.0,5.0,Vekoma,Terra Mítica,status.operating,38.5608622,-0.1582938
Tren Bravo (Left),Steel,Sit Down,45.0,6.0,394.0,0.0,Zamperla,Terra Mítica,status.closed.temporarily,38.5608622,-0.1582938
Inferno,Steel,4th Dimension,60.0,25.0,142.0,0.0,Intamin,Terra Mítica,status.operating,38.5608622,-0.1582938
Tren Bravo (Right),Steel,Sit Down,45.0,6.0,394.0,0.0,Zamperla,Terra Mítica,status.closed.temporarily,38.5608622,-0.1582938
Anaconda,Wooden,Sit Down,85.0,35.0,1200.0,0.0,William J. Cobb,Walygator Parc,status.operating,49.224945,6.1595806
Comet,Steel,Sit Down,64.0,24.0,,3.0,Vekoma,Walygator Parc,status.operating,49.224945,6.1595806
Family coaster,Steel,Sit Down,,,,0.0,na,Walygator Parc,status.operating,49.224945,6.1595806
The Monster,Steel,Inverted,92.0,42.0,1200.0,6.0,B&M,Walygator Parc,status.operating,49.224945,6.1595806
Zig Zag,Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Walygator Parc,status.closed.definitely,49.224945,6.1595806
Azteka,Steel,Sit Down,55.0,17.0,500.0,0.0,Soquet,Le Pal,status.operating,46.509026,3.625388
Le Tigre de Sibérie,Steel,Sit Down,40.0,13.0,360.0,0.0,Reverchon,Le Pal,status.operating,46.509026,3.625388
Chenille Fantastique,Steel,Sit Down,50.0,,,0.0,Soquet,Le Pal,status.closed.definitely,46.509026,3.625388
Le Twist,Steel,Spinning,70.0,22.0,470.0,0.0,Mack,Le Pal,status.operating,46.509026,3.625388
Yukon Quad,Steel,Sit Down,85.0,12.0,1000.0,0.0,Intamin,Le Pal,status.operating,46.509026,3.625388
Unnamed Atlantica Supersplash Clone,Steel,Sit Down,80.0,30.0,390.0,0.0,Mack,Le Pal,status.announced,46.509026,3.625388
Bat Coaster,Steel,Inverted,70.0,20.0,400.0,2.0,Pinfari,Nigloland,status.relocated,48.26064100000001,4.610033
Course de Bobsleigh,Steel,Sit Down,65.0,15.0,450.0,0.0,Schwarzkopf,Nigloland,status.relocated,48.26064100000001,4.610033
La Chenille,Steel,Sit Down,26.0,3.0,,0.0,Pinfari,Nigloland,status.operating,48.26064100000001,4.610033
Spatiale Experience,Steel,Sit Down,60.0,18.0,800.0,0.0,Mack,Nigloland,status.operating,48.26064100000001,4.610033
Le Train de la Mine d'Or,Steel,Sit Down,36.0,8.0,,0.0,Mack,Nigloland,status.operating,48.26064100000001,4.610033
Schlitt' Express,Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Nigloland,status.operating,48.26064100000001,4.610033
Bayern Express,Steel,Sit Down,43.0,,600.0,0.0,Soquet,Nigloland,status.relocated,48.26064100000001,4.610033
Alpina Blitz,Steel,Sit Down,100.0,30.0,800.0,0.0,Mack,Nigloland,status.operating,48.26064100000001,4.610033
Noisette Express,Steel,Sit Down,,,220.0,0.0,ART Engineering,Nigloland,status.announced,48.26064100000001,4.610033
Batman : Arkham Asylum,Steel,Inverted,80.0,32.0,823.0,5.0,B&M,Parque Warner Madrid,status.operating,40.2316116,-3.592630299999999
Superman la Atraccion de Acero,Steel,Floorless,105.0,50.0,1200.0,7.0,B&M,Parque Warner Madrid,status.operating,40.2316116,-3.592630299999999
Stunt Fall,Steel,Sit Down,106.0,58.0,367.0,3.0,Vekoma,Parque Warner Madrid,status.operating,40.2316116,-3.592630299999999
Tom y Jerry,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Parque Warner Madrid,status.operating,40.2316116,-3.592630299999999
Coaster Express,Wooden,Sit Down,90.0,36.0,1394.0,0.0,RCCA,Parque Warner Madrid,status.operating,40.2316116,-3.592630299999999
"Correcaminos Bip, Bip",Steel,Sit Down,60.0,16.0,480.0,0.0,Mack,Parque Warner Madrid,status.operating,40.2316116,-3.592630299999999
Big Thunder Mountain,Steel,Sit Down,60.0,22.0,1500.0,0.0,Vekoma,Disneyland Park,status.operating,48.8726005,2.776763
"Casey Jr, le Petit Train du Cirque",Steel,Sit Down,30.0,,,0.0,Vekoma,Disneyland Park,status.operating,48.8726005,2.776763
Indiana Jones et le Temple du Péril,Steel,Sit Down,58.0,18.0,566.0,1.0,Intamin,Disneyland Park,status.operating,48.8726005,2.776763
Hyper Space Mountain,Steel,Sit Down,70.0,31.0,1000.0,3.0,Vekoma,Disneyland Park,status.operating,48.8726005,2.776763
EqWalizer,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Walibi Rhône Alpes,status.operating,45.6198928,5.5691449
Coccinelle,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Walibi Rhône Alpes,status.operating,45.6198928,5.5691449
Woodstock Express,Steel,Sit Down,,,220.0,0.0,Zamperla,Walibi Rhône Alpes,status.operating,45.6198928,5.5691449
Le Grand Huit,Steel,Sit Down,,,,0.0,Pinfari,Walibi Rhône Alpes,status.closed.definitely,45.6198928,5.5691449
Timber,Wooden,Sit Down,65.0,17.0,446.0,0.0,Gravity Group,Walibi Rhône Alpes,status.operating,45.6198928,5.5691449
Mystic,Steel,Sit Down,85.0,31.0,575.0,3.0,Gerstlauer,Walibi Rhône Alpes,status.operating,45.6198928,5.5691449
Calamity Mine,Steel,Sit Down,48.0,14.0,785.0,0.0,Vekoma,Walibi Belgium,status.operating,50.7018603,4.5940362
Cobra,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Walibi Belgium,status.operating,50.7018603,4.5940362
